"time","values"
1995-01-01,66333.9
1995-04-01,62852.1
1995-07-01,65555.6
1995-10-01,67340.1
1996-01-01,67745.1
1996-04-01,71267.3
1996-07-01,73032
1996-10-01,79998.7
1997-01-01,81554.6
1997-04-01,86425.6
1997-07-01,92569.2
1997-10-01,91143
1998-01-01,89962.7
1998-04-01,90366.6
1998-07-01,89532.2
1998-10-01,86490.4
1999-01-01,84175.7
1999-04-01,92647.1
1999-07-01,97790.6
1999-10-01,103820.4
2000-01-01,105592.3
2000-04-01,111721.1
2000-07-01,114299.9
2000-10-01,121680
2001-01-01,116095.5
2001-04-01,118070.5
2001-07-01,113758.5
2001-10-01,113316.2
2002-01-01,111886.9
2002-04-01,117179.8
2002-07-01,116792.8
2002-10-01,111755.8
2003-01-01,111918.9
2003-04-01,105701.9
2003-07-01,108752.7
2003-10-01,108137.3
2004-01-01,108545.8
2004-04-01,114865.7
2004-07-01,118128.1
2004-10-01,120366.3
2005-01-01,113415.1
2005-04-01,128068.3
2005-07-01,132077.4
2005-10-01,137168.4
2006-01-01,148571.2
2006-04-01,156282.5
2006-07-01,142340.8
2006-10-01,141067.2
2007-01-01,139402.3
2007-04-01,143342.7
2007-07-01,145075.8
2007-10-01,145049.6
2008-01-01,132867.4
2008-04-01,138212.3
2008-07-01,140148.9
2008-10-01,129016.6
2009-01-01,109472
2009-04-01,114122.2
2009-07-01,117754.5
2009-10-01,117519.3
2010-01-01,118399.1
2010-04-01,134619.1
2010-07-01,136258.3
2010-10-01,140037.7
2011-01-01,143256.5
2011-04-01,145453.9
2011-07-01,146624.9
2011-10-01,152219.3
2012-01-01,154652
2012-04-01,156987.8
2012-07-01,161954.7
2012-10-01,159665.6
2013-01-01,151302.4
2013-04-01,161279.6
2013-07-01,156810.2
2013-10-01,156811.9
2014-01-01,152459.9
2014-04-01,162218.5
2014-07-01,164389.4
2014-10-01,172925.2
2015-01-01,169245
2015-04-01,187698.5
2015-07-01,177212
2015-10-01,187101.6
2016-01-01,166334.4
2016-04-01,179069.1
2016-07-01,164313.4
2016-10-01,177888.1
2017-01-01,173709.7
2017-04-01,181633.2
2017-07-01,174312.5
2017-10-01,180949.2
2018-01-01,177404.7
2018-04-01,188293.2
2018-07-01,186612.1
2018-10-01,195550.7
2019-01-01,184883.8
2019-04-01,187596.7
2019-07-01,193714.6
2019-10-01,219694.9
